# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 1)               |                                      kick_ilb() {
 1)   5.456 us    |                                        housekeeping_cpumask();
 1)   7.456 us    |                                        idle_cpu();
 1)               |                                        smp_send_reschedule() {
 1)               |                                          smp_cross_call() {
 1) + 51.024 us   |                                            gic_raise_softirq();
 1) + 66.448 us   |                                          }
 1) + 76.368 us   |                                        }
 1) ! 113.664 us  |                                      }
 1) ! 203.504 us  |                                    }
 1) ! 556.304 us  |                                  }
 1)   7.376 us    |                                  run_posix_cpu_timers();
 1) ! 748.368 us  |                                }
 1) + 68.064 us   |                                profile_tick();
 0)   ==========> |
 0)               |      gic_handle_irq() {
 0)               |        handle_IPI() {
 0)               |          scheduler_ipi() {
 1) ! 855.888 us  |                              }
 0)               |            irq_enter() {
 1)   7.872 us    |                              hrtimer_forward();
 0)               |              rcu_irq_enter() {
 0)   5.920 us    |                rcu_dynticks_eqs_exit();
 1) # 1091.520 us |                            }
 1)   8.048 us    |                            _raw_spin_lock_irq();
 0) + 20.048 us   |              }
 0)               |              tick_irq_enter() {
 1)   8.480 us    |                            enqueue_hrtimer();
 0)   7.760 us    |                tick_check_oneshot_broadcast_this_cpu();
 1) # 1147.968 us |                          }
 0)               |                ktime_get() {
 1)   5.952 us    |                          __hrtimer_next_event_base();
 0)   7.440 us    |                  arch_counter_read();
 1)   6.240 us    |                          __hrtimer_next_event_base();
 0) + 20.480 us   |                }
 1)   5.888 us    |                          _raw_spin_unlock_irqrestore();
 0)   5.728 us    |                nr_iowait_cpu();
 1)               |                          tick_program_event() {
 0) + 58.480 us   |              }
 0)   5.984 us    |              _local_bh_enable();
 1)               |                            clockevents_program_event() {
 1)               |                              ktime_get() {
 0)   6.752 us    |              irqtime_account_irq();
 1)   5.584 us    |                                arch_counter_read();
 0) ! 120.624 us  |            }
 1) + 17.728 us   |                              }
 0) ! 113.920 us  |            sched_ttwu_pending();
 1) + 72.368 us   |                              arch_timer_set_next_event_virt();
 1) ! 111.536 us  |                            }
 1) ! 122.208 us  |                          }
 1) # 1356.032 us |                        }
 1) # 1370.288 us |                      }
 1) + 64.592 us   |                      gic_eoi_irq();
 0) + 11.248 us   |            __raise_softirq_irqoff();
 1) # 1460.736 us |                    }
 0)               |            irq_exit() {
 1)               |                    irq_exit() {
 0)   7.200 us    |              irqtime_account_irq();
 1)   8.112 us    |                      irqtime_account_irq();
 1)   6.448 us    |                      ksoftirqd_running();
 0)   6.224 us    |              ksoftirqd_running();
 1)               |                      __do_softirq() {
 0)               |              __do_softirq() {
 1)   5.680 us    |                        irqtime_account_irq();
 0)   6.016 us    |                irqtime_account_irq();
 1)               |                        run_timer_softirq() {
 0)               |                run_rebalance_domains() {
 1)   5.808 us    |                          _raw_spin_lock_irq();
 0)               |                  _nohz_idle_balance() {
 0)               |                    update_blocked_averages() {
 1)   8.432 us    |                          __next_timer_interrupt();
 0)   6.112 us    |                      _raw_spin_lock_irqsave();
 0)               |                      update_rq_clock() {
 1)   6.720 us    |                          _raw_spin_unlock_irq();
 0)               |                        update_rq_clock.part.0() {
 0)   6.336 us    |                          update_irq_load_avg();
 1)   5.760 us    |                          _raw_spin_lock_irq();
 0) + 18.624 us   |                        }
 1)   7.120 us    |                          __next_timer_interrupt();
 0) + 30.400 us   |                      }
 0)   8.224 us    |                      update_rt_rq_load_avg();
 0)   7.984 us    |                      update_dl_rq_load_avg();
 1)   6.320 us    |                          _raw_spin_unlock_irq();
 0)   6.736 us    |                      update_irq_load_avg();
 1) ! 102.176 us  |                        }
 1)               |                        run_rebalance_domains() {
 0) + 33.456 us   |                      __update_load_avg_cfs_rq();
 1)               |                          update_blocked_averages() {
 1)   6.464 us    |                            _raw_spin_lock_irqsave();
 0) + 11.136 us   |                      _raw_spin_unlock_irqrestore();
 1)               |                            update_rq_clock() {
 0) ! 161.520 us  |                    }
 1)               |                              update_rq_clock.part.0() {
 0)               |                    rebalance_domains() {
 1)   6.800 us    |                                update_irq_load_avg();
 0)   5.472 us    |                      __rcu_read_lock();
 1) + 19.648 us   |                              }
 1) + 34.912 us   |                            }
 0)   7.216 us    |                      __msecs_to_jiffies();
 1)   8.464 us    |                            update_rt_rq_load_avg();
 0)               |                      load_balance() {
 1)   6.688 us    |                            update_dl_rq_load_avg();
 0)   6.880 us    |                        idle_cpu();
 1)   6.368 us    |                            update_irq_load_avg();
 0)               |                        find_busiest_group() {
 1)   6.144 us    |                            __update_load_avg_cfs_rq();
 0)               |                          update_group_capacity() {
 0)   5.152 us    |                            __msecs_to_jiffies();
 1)   6.080 us    |                            __update_load_avg_se();
 0) + 18.736 us   |                          }
 1)   5.536 us    |                            __update_load_avg_cfs_rq();
 0)   5.680 us    |                          idle_cpu();
 1)   5.248 us    |                            __update_load_avg_cfs_rq();
 1)   6.080 us    |                            _raw_spin_unlock_irqrestore();
 1) ! 191.712 us  |                          }
 1)               |                          rebalance_domains() {
 0) + 75.232 us   |                        }
 1)   6.672 us    |                            __rcu_read_lock();
 0) ! 109.856 us  |                      }
 1)   5.840 us    |                            __msecs_to_jiffies();
 0)   6.432 us    |                      __msecs_to_jiffies();
 1)   5.680 us    |                            __rcu_read_unlock();
 0)   5.808 us    |                      __rcu_read_unlock();
 1) + 41.904 us   |                          }
 0) ! 175.104 us  |                    }
 1) ! 253.904 us  |                        }
 0) ! 356.720 us  |                  }
 1)   6.896 us    |                        irqtime_account_irq();
 0) ! 369.328 us  |                }
 0)   9.888 us    |                irqtime_account_irq();
 1) ! 400.800 us  |                      }
 1)   5.632 us    |                      idle_cpu();
 0) ! 409.328 us  |              }
 0)   5.504 us    |              idle_cpu();
 1)   5.872 us    |                      rcu_irq_exit();
 0)               |              tick_nohz_irq_exit() {
 1) ! 465.168 us  |                    }
 0)               |                ktime_get() {
 1) # 1997.632 us |                  }
 1) # 2041.840 us |                }
 1)   <========== |
 0) + 26.176 us   |                  arch_counter_read();
 1) + 48.144 us   |                } /* tty_ldisc_deref */
 1)   5.728 us    |                ktime_get_real_seconds();
 0) + 37.904 us   |                }
 0) + 49.840 us   |              }
 0)   6.784 us    |              rcu_irq_exit();
 1) # 2520.000 us |              }
 1) # 2531.024 us |            }
 0) ! 531.744 us  |            }
 1)   6.416 us    |            __fsnotify_parent();
 0) ! 852.288 us  |          }
 0) ! 864.688 us  |        }
 1)   6.208 us    |            fsnotify();
 0) ! 902.416 us  |      }
 0)   <========== |
 1) # 2608.336 us |          }
 0) # 3708.416 us |    }
 1) # 2630.800 us |        }
 0)               |    rcu_idle_exit() {
 1) # 2640.960 us |      }
 0)   8.464 us    |      rcu_dynticks_eqs_exit();
 1) # 2651.504 us |    }
 1) # 2663.136 us |  }
 0) + 21.184 us   |    }
 0)   7.120 us    |    arch_cpu_idle_exit();
 1)               |  el0_svc_handler() {
 0)   5.408 us    |    arch_cpu_idle_enter();
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_ppoll() {
 0)   5.696 us    |    tick_check_broadcast_expired();
 1)   9.712 us    |        get_timespec64();
 0)   5.648 us    |    cpuidle_get_cpu_driver();
 1)               |        ktime_get_ts64() {
 0)   6.144 us    |    cpuidle_not_available();
 1)   5.696 us    |          arch_counter_read();
 0)               |    tick_nohz_idle_stop_tick() {
 1) + 17.152 us   |        }
 0)   6.000 us    |      can_stop_idle_tick();
 1)   5.728 us    |        timespec64_add_safe();
 0)               |      tick_nohz_next_event() {
 1)   5.664 us    |        set_user_sigmask();
 0)   5.504 us    |        rcu_needs_cpu();
 1)               |        do_sys_poll() {
 0)               |        get_next_timer_interrupt() {
 1)               |          select_estimate_accuracy() {
 0)   6.160 us    |          _raw_spin_lock();
 1)               |            ktime_get_ts64() {
 1)   5.680 us    |              arch_counter_read();
 0)   8.560 us    |          __next_timer_interrupt();
 1) + 17.008 us   |            }
 1)   5.824 us    |            set_normalized_timespec64();
 0)   5.904 us    |          _raw_spin_unlock();
 1) + 40.032 us   |          }
 0)               |          hrtimer_get_next_event() {
 1)   5.920 us    |          __fdget();
 0)   7.488 us    |            _raw_spin_lock_irqsave();
 1)               |          tty_poll() {
 0)   6.048 us    |            _raw_spin_unlock_irqrestore();
 1)               |            tty_ldisc_ref_wait() {
 1)   5.712 us    |              ldsem_down_read();
 0) + 31.856 us   |          }
 0) + 80.272 us   |        }
 1) + 16.544 us   |            }
 0)   7.120 us    |        timekeeping_max_deferment();
 1)               |            n_tty_poll() {
 1)               |              __pollwait() {
 0) ! 120.192 us  |      }
 1)               |                add_wait_queue() {
 0) ! 145.408 us  |    }
 1)   5.504 us    |                  _raw_spin_lock_irqsave();
 0)               |    rcu_idle_enter() {
 0)   5.392 us    |      rcu_preempt_deferred_qs();
 1)   5.968 us    |                  _raw_spin_unlock_irqrestore();
 0) + 18.464 us   |    }
 1) + 29.440 us   |                }
 0)               |    arch_cpu_idle() {
 1) + 44.128 us   |              }
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   5.104 us    |                  _raw_spin_lock_irqsave();
 1)   5.520 us    |                  _raw_spin_unlock_irqrestore();
 1) + 25.520 us   |                }
 1) + 35.664 us   |              }
 1)   5.632 us    |              tty_hung_up_p();
 1)   5.824 us    |              mutex_is_locked();
 1)               |              tty_chars_in_buffer() {
 1)               |                uart_chars_in_buffer() {
 1)   5.344 us    |                  _raw_spin_lock_irqsave();
 1)   5.520 us    |                  _raw_spin_unlock_irqrestore();
 1) + 27.040 us   |                }
 1) + 37.504 us   |              }
 1)               |              tty_write_room() {
 1)               |                uart_write_room() {
 1)   5.184 us    |                  _raw_spin_lock_irqsave();
 1)   5.440 us    |                  _raw_spin_unlock_irqrestore();
 1) + 26.576 us   |                }
 1) + 37.072 us   |              }
 1) ! 218.336 us  |            }
 1)               |            tty_ldisc_deref() {
 1)   5.440 us    |              ldsem_up_read();
 1) + 16.080 us   |            }
 1) ! 274.864 us  |          }
 1)               |          poll_freewait() {
 1)               |            remove_wait_queue() {
 1)   5.184 us    |              _raw_spin_lock_irqsave();
 1)   5.504 us    |              _raw_spin_unlock_irqrestore();
 1) + 26.416 us   |            }
 1)               |            fput() {
 1)   5.376 us    |              fput_many();
 1) + 15.808 us   |            }
 1)               |            remove_wait_queue() {
 1)   5.120 us    |              _raw_spin_lock_irqsave();
 1)   5.344 us    |              _raw_spin_unlock_irqrestore();
 1) + 25.552 us   |            }
 1)               |            fput() {
 1)   5.024 us    |              fput_many();
 1) + 15.008 us   |            }
 1) ! 108.496 us  |          }
 1) ! 458.848 us  |        }
 1)               |        poll_select_finish() {
 1)               |          ktime_get_ts64() {
 1)   5.488 us    |            arch_counter_read();
 1) + 16.800 us   |          }
 1) + 22.640 us   |          set_normalized_timespec64();
 1) + 11.744 us   |          put_timespec64();
 1)   ==========> |
 1)               |        gic_handle_irq() {
 1)               |          __handle_domain_irq() {
 1)               |            irq_enter() {
 1)   5.616 us    |              rcu_irq_enter();
 1)   7.312 us    |              irqtime_account_irq();
 1) + 31.264 us   |            }
 1)   5.744 us    |            irq_find_mapping();
 1)               |            handle_percpu_devid_irq() {
 1)               |              arch_timer_handler_virt() {
 1)               |                hrtimer_interrupt() {
 1)   5.616 us    |                  _raw_spin_lock_irqsave();
 1)               |                  ktime_get_update_offsets_now() {
 1)   5.360 us    |                    arch_counter_read();
 1) + 16.704 us   |                  }
 1)               |                  __hrtimer_run_queues() {
 1)   5.648 us    |                    _raw_spin_unlock_irqrestore();
 1)               |                    tick_sched_timer() {
 1)               |                      ktime_get() {
 1)   5.056 us    |                        arch_counter_read();
 1) + 15.168 us   |                      }
 1)               |                      tick_sched_do_timer() {
 1)               |                        tick_do_update_jiffies64.part.0() {
 1)   5.840 us    |                          _raw_spin_lock();
 1)               |                          do_timer() {
 1)   5.152 us    |                            calc_global_load();
 1) + 15.744 us   |                          }
 1)   5.776 us    |                          _raw_spin_unlock();
 1)               |                          update_wall_time() {
 1)               |                            timekeeping_advance() {
 1)   5.088 us    |                              _raw_spin_lock_irqsave();
 1)   5.584 us    |                              arch_counter_read();
 1)   5.408 us    |                              ntp_tick_length();
 1)   5.104 us    |                              ntp_tick_length();
 1)               |                              timekeeping_update() {
 1)   5.472 us    |                                ntp_get_next_leap();
 1)   6.272 us    |                                update_vsyscall();
 1)   5.552 us    |                                raw_notifier_call_chain();
 1) + 39.040 us   |                              }
 1)   5.728 us    |                              _raw_spin_unlock_irqrestore();
 1) ! 105.024 us  |                            }
 1) ! 119.792 us  |                          }
 1) ! 185.056 us  |                        }
 1) ! 196.000 us  |                      }
 1)               |                      tick_sched_handle() {
 1)               |                        update_process_times() {
 1)               |                          account_process_tick() {
 1)               |                            irqtime_account_process_tick() {
 1)               |                              account_system_index_time() {
 1)               |                                cpuacct_account_field() {
 1)   4.912 us    |                                  __rcu_read_lock();
 1)   5.648 us    |                                  __rcu_read_unlock();
 1) + 26.544 us   |                                }
 1)   5.360 us    |                                __rcu_read_lock();
 1)   5.488 us    |                                __rcu_read_unlock();
 1)   5.632 us    |                                acct_account_cputime();
 1) + 70.320 us   |                              }
 1) + 81.136 us   |                            }
 1) + 91.392 us   |                          }
 1)               |                          run_local_timers() {
 1)   5.168 us    |                            hrtimer_run_queues();
 1)               |                            raise_softirq() {
 1)   6.944 us    |                              __raise_softirq_irqoff();
 1) + 18.032 us   |                            }
 1) + 38.624 us   |                          }
 1)               |                          rcu_sched_clock_irq() {
 1)   5.536 us    |                            rcu_segcblist_ready_cbs();
 1) + 19.360 us   |                          }
 1)               |                          scheduler_tick() {
 1)   5.392 us    |                            _raw_spin_lock();
 1)               |                            update_rq_clock.part.0() {
 1)   6.128 us    |                              update_irq_load_avg();
 1) + 18.160 us   |                            }
 1)               |                            task_tick_fair() {
 1)               |                              update_curr() {
 1)   5.136 us    |                                update_min_vruntime();
 1)               |                                cpuacct_charge() {
 1)   4.848 us    |                                  __rcu_read_lock();
 1)   5.296 us    |                                  __rcu_read_unlock();
 1) + 25.648 us   |                                }
 1)   5.088 us    |                                __rcu_read_lock();
 1)   5.104 us    |                                __rcu_read_unlock();
 1) + 66.032 us   |                              }
 1)   6.752 us    |                              __update_load_avg_se();
 1)   6.704 us    |                              __update_load_avg_cfs_rq();
 1)   5.392 us    |                              update_cfs_group();
 1)   5.616 us    |                              hrtimer_active();
 1)               |                              update_curr() {
 1)   5.056 us    |                                update_min_vruntime();
 1) + 15.728 us   |                              }
 1) + 38.000 us   |                              __update_load_avg_se();
 1)   6.240 us    |                              __update_load_avg_cfs_rq();
 1)               |                              update_cfs_group() {
 1)               |                                reweight_entity() {
 1)   5.056 us    |                                  update_curr();
 1)   5.360 us    |                                  account_entity_dequeue();
 1)   5.344 us    |                                  account_entity_enqueue();
 1) + 36.432 us   |                                }
 1) + 46.528 us   |                              }
 1)   5.408 us    |                              hrtimer_active();
 1) ! 272.496 us  |                            }
 1)   5.808 us    |                            calc_global_load_tick();
 1)   5.408 us    |                            _raw_spin_unlock();
 1)               |                            trigger_load_balance() {
 1)   4.960 us    |                              __rcu_read_lock();
 1)   5.328 us    |                              __rcu_read_unlock();
 1)               |                              kick_ilb() {
 1)   5.184 us    |                                housekeeping_cpumask();
 1)   7.520 us    |                                idle_cpu();
 1)               |                                smp_send_reschedule() {
 1)               |                                  smp_cross_call() {
 1) + 49.568 us   |                                    gic_raise_softirq();
 1) + 64.720 us   |                                  }
 1) + 75.008 us   |                                }
 1) ! 110.304 us  |                              }
 1) ! 142.624 us  |                            }
 1) ! 486.960 us  |                          }
 1)   7.008 us    |                          run_posix_cpu_timers();
 1) ! 675.024 us  |                        }
 1) + 65.584 us   |                        profile_tick();
 0)   ==========> |
 0)               |      gic_handle_irq() {
 0)               |        handle_IPI() {
 0)               |          scheduler_ipi() {
 0)               |            irq_enter() {
 0)               |              rcu_irq_enter() {
 1) ! 796.352 us  |                      }
 0)   9.056 us    |                rcu_dynticks_eqs_exit();
 1)   7.856 us    |                      hrtimer_forward();
 0) + 22.928 us   |              }
 1) # 1046.768 us |                    }
 0)               |              tick_irq_enter() {
 1)   6.560 us    |                    _raw_spin_lock_irq();
 0)   5.136 us    |                tick_check_oneshot_broadcast_this_cpu();
 1)   6.704 us    |                    enqueue_hrtimer();
 0)               |                ktime_get() {
 0)   5.792 us    |                  arch_counter_read();
 1) # 1094.624 us |                  }
 1)   5.872 us    |                  __hrtimer_next_event_base();
 0) + 17.616 us   |                }
 0)   5.680 us    |                nr_iowait_cpu();
 1)   5.936 us    |                  __hrtimer_next_event_base();
 0) + 52.016 us   |              }
 1)   5.840 us    |                  _raw_spin_unlock_irqrestore();
 0)   5.888 us    |              _local_bh_enable();
 1)               |                  tick_program_event() {
 0)   6.832 us    |              irqtime_account_irq();
 1)               |                    clockevents_program_event() {
 1)               |                      ktime_get() {
 0) ! 117.056 us  |            }
 1)   7.280 us    |                        arch_counter_read();
 0)   7.184 us    |            sched_ttwu_pending();
 1) + 17.904 us   |                      }
 0)   6.080 us    |            __raise_softirq_irqoff();
 1) + 70.624 us   |                      arch_timer_set_next_event_virt();
 1) ! 107.136 us  |                    }
 1) ! 117.600 us  |                  }
 1) # 1293.920 us |                }
 1) # 1306.400 us |              }
 1) + 11.440 us   |              gic_eoi_irq();
 1) # 1334.368 us |            }
 1)               |            irq_exit() {
 1)   6.752 us    |              irqtime_account_irq();
 1)   5.856 us    |              ksoftirqd_running();
 1)               |              __do_softirq() {
 1)   5.424 us    |                irqtime_account_irq();
 0)               |            irq_exit() {
 0)   7.856 us    |              irqtime_account_irq();
 1)               |                run_timer_softirq() {
 0)   6.064 us    |              ksoftirqd_running();
 1)   6.048 us    |                  _raw_spin_lock_irq();
 0)               |              __do_softirq() {
 0)   5.792 us    |                irqtime_account_irq();
 1)   6.752 us    |                  _raw_spin_unlock_irq();
 0)               |                run_rebalance_domains() {
 1)   5.536 us    |                  _raw_spin_lock_irq();
 0)               |                  _nohz_idle_balance() {
 1)   5.584 us    |                  _raw_spin_unlock_irq();
 0)               |                    update_blocked_averages() {
 0)   6.608 us    |                      _raw_spin_lock_irqsave();
 1) + 60.400 us   |                }
 1)   6.432 us    |                irqtime_account_irq();
 0)               |                      update_rq_clock() {
 0)               |                        update_rq_clock.part.0() {
 1) ! 153.872 us  |              }
 1)   5.776 us    |              idle_cpu();
 1)   5.456 us    |              rcu_irq_exit();
 0) + 24.848 us   |                          update_irq_load_avg();
 1) ! 245.728 us  |            }
 1) # 1703.296 us |          }
 0) + 38.016 us   |                        }
 1) # 1733.872 us |        }
 1)   <========== |
 0) + 50.992 us   |                      }
 1) ! 266.480 us  |        } /* poll_select_finish */
 0) + 14.768 us   |                      update_rt_rq_load_avg();
 1) # 2596.848 us |      }
 1) # 2608.672 us |    }
 1) # 2620.624 us |  }
 0)   7.152 us    |                      update_dl_rq_load_avg();
 0)   6.384 us    |                      update_irq_load_avg();
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 0)   6.992 us    |                      __update_load_avg_cfs_rq();
 1)               |      __arm64_sys_read() {
 1)               |        ksys_read() {
 0)   7.920 us    |                      _raw_spin_unlock_irqrestore();
 1)   5.584 us    |          __fdget_pos();
 0) ! 181.008 us  |                    }
 1)               |          vfs_read() {
 0)               |                    rebalance_domains() {
 1)               |            rw_verify_area() {
 0)   5.264 us    |                      __rcu_read_lock();
 1)               |              security_file_permission() {
 1)   5.600 us    |                __fsnotify_parent();
 0)   5.744 us    |                      __msecs_to_jiffies();
 1)   6.288 us    |                fsnotify();
 0)               |                      load_balance() {
 1) + 27.840 us   |              }
 0)   5.472 us    |                        idle_cpu();
 1) + 38.208 us   |            }
 1)               |            __vfs_read() {
 0)               |                        find_busiest_group() {
 1)               |              tty_read() {
 0)               |                          update_group_capacity() {
 1)   5.008 us    |                tty_paranoia_check();
 0)   5.056 us    |                            __msecs_to_jiffies();
 1)               |                tty_ldisc_ref_wait() {
 0) + 16.352 us   |                          }
 1)   5.312 us    |                  ldsem_down_read();
 0)   7.040 us    |                          idle_cpu();
 1) + 16.768 us   |                }
 1)               |                n_tty_read() {
 0) + 47.904 us   |                        }
 1)   5.856 us    |                  mutex_lock_interruptible();
 0) + 73.472 us   |                      }
 0)   5.600 us    |                      __msecs_to_jiffies();
 1)   6.096 us    |                  down_read();
 0)   6.144 us    |                      __rcu_read_unlock();
 1)               |                  add_wait_queue() {
 1)   6.080 us    |                    _raw_spin_lock_irqsave();
 0) ! 130.976 us  |                    }
 0) ! 330.592 us  |                  }
 1)   5.808 us    |                    _raw_spin_unlock_irqrestore();
 0) ! 342.720 us  |                }
 0)   7.008 us    |                irqtime_account_irq();
 1) + 29.472 us   |                  }
 1)               |                  copy_from_read_buf() {
 0) ! 378.720 us  |              }
 0)   5.392 us    |              idle_cpu();
 1)   5.840 us    |                    tty_audit_add_data();
 0)               |              tick_nohz_irq_exit() {
 1) + 22.704 us   |                  }
 0)               |                ktime_get() {
 1)   5.680 us    |                  copy_from_read_buf();
 0)   5.696 us    |                  arch_counter_read();
 1)   8.816 us    |                  n_tty_kick_worker();
 0) + 16.512 us   |                }
 0) + 28.880 us   |              }
 0)   6.320 us    |              rcu_irq_exit();
 1)               |                  tty_unthrottle_safe() {
 1)   5.760 us    |                    mutex_lock();
 0) ! 517.504 us  |            }
 0) ! 921.344 us  |          }
 1)   6.016 us    |                    mutex_unlock();
 0) ! 934.896 us  |        }
 0) ! 973.440 us  |      }
 0)   <========== |
 1) + 27.664 us   |                  }
 0) # 2701.456 us |    }
 1)   7.040 us    |                  n_tty_kick_worker();
 0)               |    rcu_idle_exit() {
 0)   5.776 us    |      rcu_dynticks_eqs_exit();
 1)   6.512 us    |                  up_read();
 0) + 19.584 us   |    }
 0)   5.600 us    |    arch_cpu_idle_exit();
 1)               |                  remove_wait_queue() {
 1)   5.248 us    |                    _raw_spin_lock_irqsave();
 0)   5.296 us    |    arch_cpu_idle_enter();
 1)   5.616 us    |                    _raw_spin_unlock_irqrestore();
 0)   5.424 us    |    tick_check_broadcast_expired();
 1) + 26.736 us   |                  }
 0)   5.744 us    |    cpuidle_get_cpu_driver();
 1)   5.680 us    |                  mutex_unlock();
 0) + 16.080 us   |    cpuidle_not_available();
 1) ! 230.544 us  |                }
 1)               |                tty_ldisc_deref() {
 1)   5.376 us    |                  ldsem_up_read();
 1) + 15.616 us   |                }
 1) + 11.728 us   |                ktime_get_real_seconds();
 0)               |    tick_nohz_idle_stop_tick() {
 0) + 11.568 us   |      can_stop_idle_tick();
 1) ! 319.424 us  |              }
 1) ! 335.712 us  |            }
 1) + 16.896 us   |            __fsnotify_parent();
 0)               |      tick_nohz_next_event() {
 0)   6.560 us    |        rcu_needs_cpu();
 1)   6.064 us    |            fsnotify();
 1) ! 430.512 us  |          }
 0)               |        get_next_timer_interrupt() {
 1) ! 453.424 us  |        }
 1) ! 464.896 us  |      }
 0)   6.448 us    |          _raw_spin_lock();
 1) ! 476.240 us  |    }
 1) ! 489.424 us  |  }
 0)   8.944 us    |          __next_timer_interrupt();
 0)   5.840 us    |          _raw_spin_unlock();
 0)               |          hrtimer_get_next_event() {
 0)   5.888 us    |            _raw_spin_lock_irqsave();
 1)               |  el0_svc_handler() {
 0)   6.192 us    |            _raw_spin_unlock_irqrestore();
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_write() {
 0) + 28.768 us   |          }
 0) + 78.864 us   |        }
 0)   7.344 us    |        timekeeping_max_deferment();
 1)               |        ksys_write() {
 0) ! 127.264 us  |      }
 0) ! 180.256 us  |    }
 0)               |    rcu_idle_enter() {
 1) + 16.080 us   |          __fdget_pos();
 0)   5.232 us    |      rcu_preempt_deferred_qs();
 0) + 16.640 us   |    }
 0)               |    arch_cpu_idle() {
 1)               |          vfs_write() {
 1)               |            rw_verify_area() {
 1) + 17.680 us   |              security_file_permission();
 1) + 37.888 us   |            }
 1)               |            __vfs_write() {
 1)               |              redirected_tty_write() {
 1)   6.192 us    |                _raw_spin_lock();
 1)   5.840 us    |                _raw_spin_unlock();
 1)               |                tty_write() {
 1)   5.024 us    |                  tty_paranoia_check();
 1)               |                  tty_ldisc_ref_wait() {
 1)   5.360 us    |                    ldsem_down_read();
 1) + 16.144 us   |                  }
 1)   6.944 us    |                  mutex_trylock();
 1)               |                  n_tty_write() {
 1)   5.376 us    |                    down_read();
 1)   5.760 us    |                    process_echoes();
 1)               |                    add_wait_queue() {
 1)   5.520 us    |                      _raw_spin_lock_irqsave();
 1)   5.552 us    |                      _raw_spin_unlock_irqrestore();
 1) + 26.752 us   |                    }
 1)   5.344 us    |                    tty_hung_up_p();
 1)   5.776 us    |                    mutex_lock();
 1)               |                    tty_write_room() {
 1)               |                      uart_write_room() {
 1)   5.056 us    |                        _raw_spin_lock_irqsave();
 1)   5.312 us    |                        _raw_spin_unlock_irqrestore();
 1) + 25.856 us   |                      }
 1) + 36.480 us   |                    }
 1)               |                    uart_write() {
 1)   4.976 us    |                      _raw_spin_lock_irqsave();
 1)               |                      __uart_start.isra.0() {
 1)               |                        pl011_start_tx() {
 1)               |                          pl011_tx_chars() {
 1) + 64.976 us   |                            pl011_read();
 1)               |                            uart_write_wakeup() {
 1)               |                              tty_port_tty_wakeup() {
 1)               |                                tty_port_default_wakeup() {
 1) + 21.008 us   |                                  _raw_spin_lock_irqsave();
 1) + 15.728 us   |                                  _raw_spin_unlock_irqrestore();
 1)               |                                  tty_wakeup() {
 1)               |                                    __wake_up() {
 1)               |                                      __wake_up_common_lock() {
 1)   5.312 us    |                                        _raw_spin_lock_irqsave();
 1)               |                                        __wake_up_common() {
 1)               |                                          woken_wake_function() {
 1)               |                                            default_wake_function() {
 1)   5.680 us    |                                              try_to_wake_up();
 1) + 16.224 us   |                                            }
 1) + 26.976 us   |                                          }
 1) + 38.640 us   |                                        }
 1)   5.840 us    |                                        _raw_spin_unlock_irqrestore();
 1) + 72.368 us   |                                      }
 1) + 84.672 us   |                                    }
 1) ! 108.752 us  |                                  }
 1) + 14.144 us   |                                  tty_kref_put();
 1) ! 210.528 us  |                                }
 1) ! 227.584 us  |                              }
 1) ! 263.104 us  |                            }
 1)   8.752 us    |                            pl011_stop_tx();
 1) ! 462.272 us  |                          }
 1) ! 472.848 us  |                        }
 1) ! 485.104 us  |                      }
 1)   5.504 us    |                      _raw_spin_unlock_irqrestore();
 1) ! 519.440 us  |                    }
 1)   5.888 us    |                    mutex_unlock();
 1)               |                    uart_flush_chars() {
 1)               |                      uart_start() {
 1)   5.344 us    |                        _raw_spin_lock_irqsave();
 1)               |                        __uart_start.isra.0() {
 1)               |                          pl011_start_tx() {
 1)               |                            pl011_tx_chars() {
 1)   5.536 us    |                              pl011_stop_tx();
 1) + 15.984 us   |                            }
 1) + 25.488 us   |                          }
 1) + 35.296 us   |                        }
 1)   5.200 us    |                        _raw_spin_unlock_irqrestore();
 1) + 66.320 us   |                      }
 1) + 76.480 us   |                    }
 1)               |                    remove_wait_queue() {
 1)   5.120 us    |                      _raw_spin_lock_irqsave();
 1)   5.328 us    |                      _raw_spin_unlock_irqrestore();
 1) + 25.808 us   |                    }
 1)   6.144 us    |                    up_read();
 1) ! 785.264 us  |                  }
 1)   5.328 us    |                  ktime_get_real_seconds();
 1)   5.440 us    |                  mutex_unlock();
 1)               |                  __wake_up() {
 1)               |                    __wake_up_common_lock() {
 1)   5.008 us    |                      _raw_spin_lock_irqsave();
 1)   5.680 us    |                      __wake_up_common();
 1)   5.184 us    |                      _raw_spin_unlock_irqrestore();
 1) + 35.680 us   |                    }
 1) + 45.584 us   |                  }
 1)               |                  tty_ldisc_deref() {
 1)   5.616 us    |                    ldsem_up_read();
 1) + 15.840 us   |                  }
 1) ! 943.008 us  |                }
 1) ! 975.664 us  |              }
